Column1	Column2	Column3
00:04	みつきん	ね
00:04	みつきん	たいへんだあ
00:04	なり	あんま爪長い人好きくないかも
00:04	みつきん	俺もすぐ割れるから短いよ
00:04	みつきん	よかったぁ
00:04	なり	すきい
00:04	みつきん	シンプルに汚くなんの嫌い
00:04	なり	え、つめながいってさ
00:04	なり	汚いっておもう？
00:04	みつきん	うん
00:05	みつきん	おもう
00:05	なり	よかたあああああ
00:05	みつきん	若干潔癖入ってる
00:05	みつきん	若干ね
00:05	なり	なりだけかとおもって言わんようにしてたんやけとまさ。
00:05	なり	やけどさ。
00:05	みつきん	現課長長くて嫌
00:05	みつきん	きれよふつうに
00:05	なり	爪切りですくにおいといたら？
00:05	みつきん	モラハラかな？
00:06	なり	うわあモラハラなるか
00:06	みつきん	今危ないから。
00:06	みつきん	迂闊なことできん
00:06	なり	そうなん
00:06	なり	生きにくいな
00:06	みつきん	俺も指摘したいから気をつけてるよ
00:06	みつきん	後ろ指刺されたくない
00:06	なり	まずじぶんがやっとかんと言えないからなあ
00:07	みつきん	うん
00:07	なり	自分緩いとこもあるから
00:07	なり	人にも緩くしちゃう時ある
00:07	みつきん	おれも
00:07	みつきん	上司にタメ口
00:07	みつきん	はいあうと
00:08	なり	www
00:08	みつきん	勤務態度❌
00:08	なり	さすがに気をつけてるかなそれは。
00:08	みつきん	わざとです。
00:08	なり	なり居眠りしちゃうよ^^
00:08	みつきん	それはあかんなあ
00:08	なり	お昼ご飯食べたあとさ
00:09	みつきん	たまに無理な時あるかも
00:09	なり	めーーーちゃ眠い時間くるのよ
00:09	みつきん	血糖値スパイク
00:09	みつきん	一緒に糖質ひかえよ
00:09	なり	大体休憩終わり事務作業やもん
00:09	なり	せやな、、、、
00:09	みつきん	俺人の声聞いてると無理
00:09	みつきん	会議とか
00:09	なり	ゆっくり血糖値あげるために野菜から食べてるよ、、、
00:10	なり	あーわからんくもないな
00:10	みつきん	もーねえむり
00:10	なり	月一の会議午前中にしてもらってるわ
00:10	みつきん	頭ガクンなる
00:10	なり	かわいい
00:10	みつきん	100人規模の講演みたいなのでさ
00:10	なり	横座って肘でつんつんしたい
00:10	みつきん	俺基本一番前で受けるんだけど
00:10	なり	えらすぎ
00:11	みつきん	机に頭ぶつけたことある
00:11	みつきん	気絶した
00:11	なり	かわいいwww
00:11	みつきん	めちゃ言われたわ
00:11	みつきん	寝てましたねwwwじゃねんだわ。
00:11	なり	www
00:11	なり	結構はっきり言われてる
00:12	みつきん	普通にいじられる
00:12	なり	たのしそう
00:12	みつきん	いちばんわけーし
00:12	みつきん	なめられてる
00:12	なり	わーそなんか
00:12	なり	みんなかわいいてしゃーないやろな
00:12	みつきん	かわいくはないだろ
00:12	みつきん	ロン毛髭
00:12	なり	ふふ
00:12	なり	すき
00:12	みつきん	マッシュの時あた
00:12	みつきん	そんときはよかったかもな
